video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GGtAilkWTtI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,Global Warming: An Inconvenient History,1.2M,3 years,"This is the story of how we discovered the planet was warming, and why. Learn the building blocks of climate science with ...",2026-01-21 22:34:58.393598
/watch?v=nWPlf9ZpHBI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Toppscholars,Toppscholars,"Understand Global Warming & Climate Change | Greenhouse Effect | Causes, Effects, and Solutions",59K,2 years,"Understand Global Warming & Climate Change | Greenhouse Effect | Causes, Effects, and Solutions
| Greenhouse Effect and Global ...",2026-01-21 22:34:58.396955
/watch?v=Vztjbm6HA58&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@learningjunction,learning junction,Global Warming - video for kids - Learning Junction,397K,10 years,Global Warming - video for kids - Learning Junction #kids #learningjunction #video #kids #animation #cartoon Global warming is ...,2026-01-21 22:34:58.400526
/watch?v=lHFd5kLAwNY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,189K,13 years,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical ...",2026-01-21 22:34:58.401777
/watch?v=Ztx0Bch3h9s&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TED,TED,Why Climate Action Is Unstoppable — and “Climate Realism” Is a Myth  | Al Gore | TED,550K,6 months,"In this urgent and hard-hitting talk, Nobel Laureate Al Gore thoroughly dismantles the fossil fuel industry's narrative of ""climate ...",2026-01-21 22:34:58.404357
/watch?v=G4H1N_yXBiA&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,5.8M,8 years,What causes climate change (also known as global warming)? And what are the effects of climate change? Learn the human ...,2026-01-21 22:34:58.408042
/watch?v=sDS1sFg6lNw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NDTV,NDTV,"Climate Change and Global Warming, EXPLAINED | The Climate Explainers",392K,2 years,"In this episode of The Climate Explainers, Anubha Bhonsle explains the difference between climate change & global warming, ...",2026-01-21 22:34:58.410199
/watch?v=7hBMbQ9de1g&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,When Will Extreme Heat Become Unlivable?,1.6M,7 months,Check out our Patreon: ...,2026-01-21 22:34:58.413729
/watch?v=PqxMzKLYrZ4&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@AumSum,It's AumSum Time,Global Warming | #aumsum #kids #science #education #children,7.7M,10 years,Global Warming. The thicker layer of greenhouse gases traps more heat. This result in an increase in average temperature of the ...,2026-01-21 22:34:58.414931
/watch?v=Y1mPWVzaGQY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Biology #8,219K,2 years,Life on Earth has weathered boiling-hot oceans and volcanic-ash-darkened skies—but that's nothing like the climate change ...,2026-01-21 22:34:58.417930
/watch?v=o-pZNRN4XAE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@JustHaveaThink,Just Have a Think,NEW RESEARCH - Our planet is warming TWICE as fast as we thought!,258K,5 months,... website http://www.justhaveathink.com Reference Links: Rahmstorf and Foster - Global Warming has Accelerated Significantly ...,2026-01-21 22:35:05.991296
/watch?v=UkhaC6Pc0ZM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@CuriosityStreaming,Curiosity Stream,The Environmental Effects of Climate Change On Our Planet | Breakthrough,120K,1 year,"Climate change is one of the most pressing issues facing our planet today, with impacts felt across every continent. Scientists are ...",2026-01-21 22:35:05.993135
/watch?v=Vl6VhCAeEfQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TED,TED,The Tipping Points of Climate Change — and Where We Stand | Johan Rockström | TED,1.4M,1 year,"We're nearly halfway through the 2020s, dubbed the most decisive decade for action on climate change. Where exactly do things ...",2026-01-21 22:35:05.996374
/watch?v=Mqzs5VSjObE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@StarTalk,StarTalk,The Link Between Milankovitch Cycles & Climate Change,830K,5 months,Go to https://ground.news/startalk to stay fully informed on the latest Space and Science news. Save 40% off through our link for ...,2026-01-21 22:35:06.000772
/watch?v=8DiWzvE52ZY&list=RD8DiWzvE52ZY&start_radio=1&pp=ygUOZ2xvYmFsIHdhcm1pbmegBwE%3D,/channel/UC34wpCgr3l9cG0RtFdTTS-Q,Gojira,Gojira - Global Warming [Live at the Silver Cord Studio May 2018],9.5M,7 years,"A few weeks ago, we played Global Warming together for the first time since the recording of From Mars To Sirius (2004).",2026-01-21 22:35:06.003367
/watch?v=WxPqrmDwVdU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NakedScience,Naked Science,Earth on Fire? How BRUTAL Is Global Warming?,7.7K,3 weeks,"We explore the urgent effects of climate change on our environment, from rising temperatures and extreme weather to melting ice ...",2026-01-21 22:35:06.005666
/shorts/MdpP_lymCyM,/@PlanetExpressTV-s1,Planet Express TV,"""The Crazy Plan to Fix Global Warming""",2.4M,4 months,Futurama #PhilipJFry #Leela #Bender #ProfessorFarnsworth #Zoidberg #AmyWong #HermesConrad #Nibbler #PlanetExpress ...,2026-01-21 22:35:06.006856
/shorts/4RbvIMfwNzU,/@msnow,MS NOW,What Trump thinks about climate change,1.1M,1 year,Trump on why global warming is “a good thing.” » Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc About: MSNBC ...,2026-01-21 22:35:06.010193
/watch?v=31SCn3bcTHc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Can We Stop Climate Change? | Global Warming | The Dr Binocs Show | Peekaboo Kidz,504K,3 years,Can We Stop Climate Change? | Heat Waves | Global Warming | Reasons For Climate Change | What Causes Climate Change?,2026-01-21 22:35:06.012905
/watch?v=iGkLcqLWxMA&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@PBSNewsHour,PBS NewsHour,Earth is ‘perilously close’ to a global warming threshold. Here’s what to know,113K,10 months,"This past week, the EPA said it is reconsidering the scientific finding that greenhouse gases are a danger to public health.",2026-01-21 22:35:06.014048
/watch?v=xnQEFTv75xg&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@get.factual,Get.factual,Antarctica’s Alarming Changes: New Discoveries & Climate Crisis | Full Documentary,245K,11 months,"This award-winning documentary reveals scientific revelations and threatening climate change effects, like penguin suicide, new ...",2026-01-21 22:35:06.016468
/shorts/Ekw3nBuqbf0,/@NasDaily,Nas Daily,How I Touched Climate Change #486,4.5M,2 years,"I saw icebergs breaking and melting - with my own eyes! When you see it, you can finally believe it. This is it for Greenland. I hope ...",2026-01-21 22:35:06.021885
/watch?v=6S2gPoQ8ROE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ClimateAdam,ClimateAdam,Why Has Global Warming Just Spiked?,59K,8 months,Climate scientists weren't expecting 2023. The planet's temperature is increasing thanks to that whole burning fossil fuels thing.,2026-01-21 22:35:06.028019
/watch?v=pwvVephTIHU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@bostonglobe,The Boston Globe,Global warming:  why you should not worry,962K,15 years,(Boston Globe) An MIT scientist explains the potential dangers SUBSCRIBE TO OUR CHANNEL FOR MORE VIDEOS.,2026-01-21 22:35:06.032045
/shorts/adWMjnuD2NU,/@KyanaSue,Kyana Sue Powers,"Global warming is not political, it’s science 🥵 #iceland #globalwarming #climatechange",168K,8 months,Ice caves melt away every year and new ones form but the glacier is melting at speeds much faster than they used to. We are ...,2026-01-21 22:35:06.035481
/watch?v=ipVxxxqwBQw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Who Is Responsible For Climate Change? – Who Needs To Fix It?,11M,5 years,Sources & further reading: https://sites.google.com/view/sourcesclimateresponsibility/ Special thanks to the team at Our World for ...,2026-01-21 22:35:06.038869
/watch?v=dpvd9FensT8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@astrumspace,Astrum,This Will Be My Most Disliked Video On YouTube,4M,2 years,"#climatechange #astrum #globalwarming climate change, global warming, Earths temperature, climate cycles, Foraminifera, ...",2026-01-21 22:35:06.041380
/watch?v=EcxQZ8ub54Y&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@JREClips,JRE Clips,"Questioning the ""Science Is Settled"" Climate Change Narrative",383K,3 months,Taken from JRE #2397 w/Richard Lindzen & William Happer YouTube: https://youtu.be/Zt32chvO_iY JRE on Spotify: ...,2026-01-21 22:35:06.043693
/watch?v=C-gdabZooKo&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ProfessorDaveExplains,Professor Dave Explains,Matt Ridley is Lying to You About Climate Change,314K,4 months,Go to https://consensus.app/ for a new way to search through primary scientific literature! It's finally time to tackle climate change ...,2026-01-21 22:35:06.046151
/watch?v=E6bVBH9y5O8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@besmart,Be Smart,The Biggest Myth About Climate Change,1M,3 years,Check out America Outdoors Understory on @PBS : https://youtu.be/s-R1p89zHnk We're on PATREON! Join the community ...,2026-01-21 22:35:06.051232
/watch?v=ZuqOYXTOaqU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@climatedisasterdocumentaries,Wild Weather,The Changing Wind: How Climate Change is Breaking the Jet Stream | Code Red,11K,1 month,"Wind is the great driver of global weather, but rising temperatures are disrupting this critical system, leading to increasingly severe ...",2026-01-21 22:35:13.525024
/watch?v=GMf32qo7CHk&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,Is There a Goldilocks Zone of Global Warming?,220K,4 months,Check out our Patreon: ...,2026-01-21 22:35:13.529003
/watch?v=WkvPdUtYhX8&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@LearnBright,Learn Bright,Climate Change for Kids | A fun engaging introduction to climate change for kids,777K,4 years,Hey Teachers and Parents! In this video we explore climate change for kids. We learn all about the causes of climate change like ...,2026-01-21 22:35:13.531085
/watch?v=oYhCQv5tNsQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@WisdomLand,Wisdom Land,The Great Global Warming Swindle - Full Documentary HD,1.4M,7 years,"The Great Global Warming Swindle caused controversy in the UK when it premiered March 8, 2007 on British Channel 4.",2026-01-21 22:35:13.532421
/watch?v=myZAvqqp9Jc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ClimateScience,ClimateScience - Solve Climate Change,Climate Change: How does it really work? | ClimateScience #1,372K,5 years,"You've seen it in the news, heard it on the radio, maybe you even heard about it on TikTok but are you sure you truly know what ...",2026-01-21 22:35:13.537551
/watch?v=EhAemz1v7dQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Do we Need Nuclear Energy to Stop Climate Change?,9.5M,4 years,Get Merch designed with ❤ from https://kgs.link/shop-140 Join the Patreon Bird Army https://kgs.link/patreon ▽▽ More infos ...,2026-01-21 22:35:13.538974
/watch?v=OWXoRSIxyIU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@veritasium,Veritasium,13 Misconceptions About Global Warming,5.9M,11 years,Donate to the IPCC to prevent climate change → https://ve42.co/donateIPCC Common misconceptions about climate change.,2026-01-21 22:35:13.541124
/shorts/4tuMSDCYSas,/@Kansalcreation,Kansal Creation,Global warming school project/Model of Global warming #globalwarming #viralshort,25K,6 months,viralshort #Globalwarmingschoolproject #schoolprojectforexhibition.,2026-01-21 22:35:13.542791
/watch?v=KnjaQU8069A&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,The genius point Trump made about climate change,479K,3 months,A stopped clock is still right twice a day. Kinda? Get yourself a Nebula subscription: https://go.nebula.tv/simonclark My video with ...,2026-01-21 22:35:13.546113
/watch?v=Y1mPWVzaGQY&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Biology #8,219K,2 years,Life on Earth has weathered boiling-hot oceans and volcanic-ash-darkened skies—but that's nothing like the climate change ...,2026-01-21 22:35:13.548506
/watch?v=EtW2rrLHs08&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,3.2M,10 years,"Climate Change is a real and serious issue. In this video Bill Nye, the Science Guy, explains what causes climate change, how it ...",2026-01-21 22:35:13.550539
/shorts/5T3OSsMAqcQ,/@Kansalcreation,Kansal Creation,Global Warming school project/green House Effect model/Climate change project #viralshort #shorts,373K,2 years,Global Warming school project/#greenHouseEffectmodel/#Climatechange project #viralshort #shorts #globalwarming ...,2026-01-21 22:35:13.552032
/watch?v=SdOaNELFmQY&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@BBCNews,BBC News,2024 first year to pass 1.5C global warming limit | BBC News,73K,1 year,"The planet has moved a major step closer to warming more than 1.5C, new data shows, despite world leaders vowing a decade ...",2026-01-21 22:35:13.553437
/shorts/IZPt4WHwHCI,/@Amritadrawingbook,Amrita Drawing Book ,Global Warming Drawing Easy #amritadrawingbook #shorts #globalwarming,298K,2 years,Global Warming Drawing Easy #amritadrawingbook #shorts #globalwarming #drawing #howtodraw #easydrawing #poster ...,2026-01-21 22:35:13.554804
/watch?v=ByJCt9opcjA&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@nbcsandiego,NBC 7 San Diego,🌍 Changing Climate | NBC 7 San Diego,633,4 weeks,"Climate change is touching every corner of San Diego: energy, oceans and our coastline. NBC 7 Meteorologist Brooke Martell ...",2026-01-21 22:35:13.556075
/watch?v=7kKd8MpEkVk&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@memeabledata,Memeable Data,What 3 Degrees of Global Warming Looks Like,198K,4 months,"Thank you Odoo for sponsoring this video: https://www.odoo.com/r/jeV ABOUT THIS VIDEO: List of sources, music, 3D model ...",2026-01-21 22:35:13.557282
/watch?v=iWDEawUSyUY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,The Biggest Climate Scam Ever?,1.1M,8 months,... and what actually works when it comes to storing carbon and fighting climate change. Spoiler: it's not as simple as planting trees ...,2026-01-21 22:35:23.308659
/watch?v=iP2lH2EEr9I&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,The REAL STORY of Climate Skeptics New Favorite Graph,565K,8 months,"From ice ages and Milankovitch cycles to the role of CO2 and fossil fuels, today's climate change is unlike anything in Earth's deep ...",2026-01-21 22:35:23.312788
/shorts/7R0fVy8hos0,/@YouAndMeIntone,You And Me Intone,"""Global Warming: Causes, Effects & Solutions | How We Can Save Our Planet""",30K,10 months,"""Global Warming: Causes, Effects & Solutions | How We Can Save Our Planet"" Global Warming, Climate Change, Environmental ...",2026-01-21 22:35:23.315571
/watch?v=d6wOjk2OCZQ&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@UNSDSN,SDSN,Global Warming Has Accelerated: An Intimate Conversation with Leading Climate Scientists,38K,Streamed 11 months,An engaging discussion on groundbreaking research that reveals the unexpected drivers behind the recent unprecedented rise in ...,2026-01-21 22:35:23.318263
/watch?v=JCt2MhOzWVE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@DrBenMiles,Dr Ben Miles,New Evidence We Are Entering An Ice Age Termination Event - EXPLAINED,4.1M,2 years,Head to https://www.squarespace.com/drbenmiles to save 10% off your first purchase of a website or domain using code ...,2026-01-21 22:35:23.322286
/shorts/c2r7Igmpvns,/@Classmatelive,Classmate live,🌍 Global Warming Essay in English ✍️ | Easy & Short Paragraph for Students #shorts,52K,7 months,Learn how to write a short and simple essay on Global Warming in neat handwriting. Perfect for school students and handwriting ...,2026-01-21 22:35:23.326853
/watch?v=RLqXkYrdmjY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@hbomberguy,hbomberguy,Climate Denial: A Measured Response,8.5M,6 years,... video on strategies for beating climate change https://youtu.be/GkbuV_a-rvs [4] NYT piece about Cloud's effect on climate which ...,2026-01-21 22:35:23.331514
/watch?v=Vztjbm6HA58&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@learningjunction,learning junction,Global Warming - video for kids - Learning Junction,397K,10 years,Global Warming - video for kids - Learning Junction #kids #learningjunction #video #kids #animation #cartoon Global warming is ...,2026-01-21 22:35:23.333559
/shorts/a8bhWauGlHU,/@_TinyTots,Tiny Tots,10 lines On Global Warming| Essay On Global Warming | #shorts #globalwarming,36K,7 months,10 lines On Global Warming| Essay On Global Warming | Global Warming Essay in English | Global Warming Essay writing ...,2026-01-21 22:35:23.336987
/watch?v=cn9PhiDJp-A&list=RDcn9PhiDJp-A&start_radio=1&pp=ygUOZ2xvYmFsIHdhcm1pbmegBwE%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,7.8M,4 years,A song that helps kids understand global warming and what we all need to do about it today. Subscribe!,2026-01-21 22:35:23.340227
/watch?v=J1KGnCj_cfM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,642K,1 year,Expand your scientific horizon on Brilliant! ➜ First 200 to use our link https://brilliant.org/sabine will get 20% off the annual ...,2026-01-21 22:35:23.341525
/shorts/I7ZpVhyHtLU,/@PKRnotes,PKR Notes for Students ,Global Warming / Solutions to prevent global warming /,5.9K,7 months,Solutions to prevent global warming / #globalwarming.,2026-01-21 22:35:23.344620
/watch?v=ECYMHIbBYyI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,We Just Crossed Our FIRST Tipping Point… And It’s NOT What You Think,721K,2 months,Check out our Patreon: ...,2026-01-21 22:35:23.345990
/watch?v=PqxMzKLYrZ4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@AumSum,It's AumSum Time,Global Warming | #aumsum #kids #science #education #children,7.7M,10 years,Global Warming. The thicker layer of greenhouse gases traps more heat. This result in an increase in average temperature of the ...,2026-01-21 22:35:23.349122
