video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Y3gqoDUtmt4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Global Warming - The End Game | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,4.1M,6 years,What Is Global Warming? | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz Hi KIDZ! Welcome to a BRAND ...,2026-01-21 22:34:51.024529
/watch?v=oJAbATJCugs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,5.7M,18 years,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical ...",2026-01-21 22:34:51.026292
/watch?v=7hu6vDP2a4Q&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Freesciencelessons,Freesciencelessons,"GCSE Biology Revision ""Global Warming""",210K,7 years,Learn smarter with PLUS. Try for free: https://www.freesciencelessons.co.uk/modules/gcse-biology-1-triple/ If you're a teacher and ...,2026-01-21 22:34:51.027951
/watch?v=G9t__9Tmwv4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,652K,3 years,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2026-01-21 22:34:58.374046
/watch?v=uynhvHZUOOo&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,4.7M,4 years,"If global temperatures rise three degrees Celsius above pre-industrial levels, the results would be catastrophic. It's an entirely ...",2026-01-21 22:34:58.381045
/shorts/GnMx7jn281E,/@nytimes,The New York Times,We’ve Breached a Key Limit for Global Warming. Now What?,10K,1 year,"Global temperatures last year crept past 1.5 degrees Celsius, a key marker for climate diplomacy, raising questions about how ...",2026-01-21 22:34:58.383647
/watch?v=d7Ci_EooW-k&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Letstute,Let'stute,Greenhouse Effect and Global Warming | Environmental Science | LetsTute,2.1M,7 years,"Hello Friends! Check out our video on ""Greenhouse Effect and Global Warming” by Letstute. Greenhouse Effect and Global ...",2026-01-21 22:34:58.385605
/watch?v=0F3QPY83NZQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,113K,14 years,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical ...",2026-01-21 22:34:58.388948
/watch?v=SbMIubov950&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@climatedisasterdocumentaries,Wild Weather,Inside the US Heat Crisis  | David Attenborough | BBC Documentary,65K,5 months,"Climate change is no longer a distant threat but a present reality, driving extreme weather events such as record-breaking ...",2026-01-21 22:34:58.390177
/watch?v=BJkFwfEDKdg&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@CBSMornings,CBS Mornings,Bracing for the real impacts of climate change,6.9K,1 month,Check out ways that people are preparing for extreme weather and natural disasters as climate change continues to alter our ...,2026-01-21 22:34:58.391857
